,ratio_area,ratio_Ixx,ratio_Iyy,ratio_J,ratio_pitch,ratio_top_diameter,ratio_shear_modulus
0,1.17e-05,1.128e-11,1.128e-11,1.353e-11,0.25,0.0,0.035
1,0.00205585,7.0000564e-07,7.0000564e-07,3.885006765e-06,0.875,0.4,0.2425
2,0.003077925,3.5000846e-07,3.5000846e-07,1.9425101475000003e-06,1.1875,0.6000000000000001,0.13875
3,0.001033775,1.05000282e-06,1.05000282e-06,5.8275033825000005e-06,0.5625,0.2,0.34625
4,0.0015448125,5.2500705e-07,8.7500423e-07,6.79875169125e-06,0.71875,0.1,0.190625
5,0.0035889625,1.22500141e-06,1.7500986999999998e-07,2.9137584562500005e-06,1.34375,0.5,0.398125
6,0.0025668875,1.7500986999999998e-07,1.22500141e-06,4.85625507375e-06,1.03125,0.7000000000000001,0.086875
7,0.0005227375,8.7500423e-07,5.2500705e-07,9.7126183875e-07,0.40625,0.3,0.294375
8,0.00077825625,4.37507755e-07,1.3125007049999998e-06,3.3993826106250004e-06,0.953125,0.25,0.2165625
9,0.00282240625,1.137502115e-06,6.12506345e-07,7.284375845625e-06,0.328125,0.65,0.4240625
10,0.00384448125,8.7510575e-08,9.62503525e-07,1.456885993125e-06,0.640625,0.45,0.1128125
11,0.00180033125,7.87504935e-07,2.62509165e-07,5.341879228125e-06,1.265625,0.05,0.3203125
12,0.00128929375,2.62509165e-07,4.37507755e-07,4.370630919375e-06,1.421875,0.35,0.0609375
13,0.00333344375,9.62503525e-07,1.137502115e-06,4.85637684375e-07,0.796875,0.75,0.2684375
14,0.00231136875,6.12506345e-07,8.7510575e-08,6.313127536875e-06,0.484375,0.55,0.1646875
15,0.00026721875,1.3125007049999998e-06,7.87504935e-07,2.428134301875e-06,1.109375,0.15,0.3721875
16,0.000394978125,6.562559924999999e-07,6.562559924999999e-07,5.0990671509375e-06,0.6015625,0.775,0.25546875
17,0.002439128125,1.3562503525e-06,1.3562503525e-06,1.2140739159375e-06,1.2265625,0.375,0.04796875
18,0.003461203125,3.062588125e-07,3.062588125e-07,7.0415637684375005e-06,0.9140625,0.175,0.35921875
